n,C++-N,C++-L,C++-B-128,C++-B-256,C++-B-512,C++-B-1024
512,3405075,104337,208054,2476641,106204,
1024,280494082,494188,2084315,24239280,10157777,1165052
1536,2317502508,1228244,9931527,81906636,32488353,
2048,6061865564,2645865,23229661,183976876,84007559,45380891
2560,13341788319,8035457,42464691,318146361,153061825,
3072,24404605269,22166739,77998428,544981685,243179236,147122244
4096,70475642086,62714907,208989642,1493620841,573816666,337376100
6144,306006997516,220705765,748001317,3775494978,2261498727,1085625377
8192,946074112434,2211312239,1535535454,10316127916,4664022627,2427761755
10240,2017771638364,1322455899,2806367155,19806312515,7700574777,5227306792
